9781561381487,1561381489,The Zen Gardening Kit,,Running Press,Gardening,http://books.google.com/books/content?id=jSzoTA69sMgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The illustrated Zen Rock Gardening Book, an introduction to the art, and a creative guide to cultivation; and the Zen Garden, including a 10 1/4"" x 6"" wood tray, white sand, a wooden rake, and five rocks.",1992,3.21,96,30
9781561583768,1561583766,The Not So Big House,A Blueprint for the Way We Really Live,Sarah Susanka;Kira Obolensky,House & Home,http://books.google.com/books/content?id=_Zy_hEzQYYcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Provides a review of social trends and their effect on architecture and design.,1998,4.07,208,1291
9781561633425,1561633429,"Remembrance of Things Past, Part 2",Within a Budding Grove,Stéphane Heuet;Marcel Proust;Stanislas Brézet,Comics & Graphic Novels,http://books.google.com/books/content?id=h2gTD6fbL9cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An adaptation of the seven books of Proust's masterpiece in graphic novel format, which explores themes of love, art, sexuality, memory, and time in late nineteenth-century France.",2002,4.03,48,13
9781561706600,1561706604,Wokini,A Lakota Journey to Happiness and Self-understanding,Billy Mills;Nicholas Sparks,Self-Help,http://books.google.com/books/content?id=NikOAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Wokini, "" translated from Lakota, means ""seeking a new beginning."" On that theme, the famous athlete joins the bestselling author to blend modern therapeutic principles and Native American tradition.",1990,3.56,175,245
9781561709335,1561709336,Power Vs. Force,The Hidden Determinants of Human Behavior,David R. Hawkins,"Body, Mind & Spirit",http://books.google.com/books/content?id=mBjdVXnduRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this groundbreaking book you will learn how to get demonstrably true answers to your questions, and know what true success is and how to create it.",2002,4.22,341,6696
9781561796779,1561796778,"Boomers, Xers, and Other Strangers",Understanding the Generational Differences that Divide Us,Rick Hicks;Kathy Hicks,Social Science,http://books.google.com/books/content?id=IogMAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The authors maintain that children's core values are greatly shaped by what is going on in their culture when they are ten years old--and they show parents how to achieve reconciliation and improve communication between generations.,1999,3.36,384,28
9781562549428,1562549421,The Three Musketeers,,Alexandre Dumas,Comics & Graphic Novels,http://books.google.com/books/content?id=WNBQsrljxwkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In seventeenth-century France, young D'Artagnan initially quarrels with, then befriends, three musketeers and joins them in trying to outwit the enemies of the king and queen.",2010,3.56,61,9
9781562802349,1562802348,The Other Woman,,Ann O'Leary,Fiction,http://books.google.com/books/content?id=6JsFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tall, athletic Joanna Kingston has a roguish way about her that draws women like a magnet. Yet, as too many lovers have discovered too late, though Joanna's bedroom door is always open, she keeps her wounded heart under lock and key.",1999,3.64,213,73
9781562920586,1562920588,Don't Wait for Your Ship to Come In,Swim Out to Get It!,John Mason,Religion,http://books.google.com/books/content?id=6JL1hPQ9HN4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Don't Wait for Your Ship To Come In...Swim Out to Meet It!will challenge you to take an active role in your life, and stop watching from the sidelines. Compiled by John Mason, author of the best-selling books: An Enemy Called Average and You were Born an Original, Don't Die a Copy. This inspiring and entertaining book offers readers a quick and ready source of powerful nuggets of truth to help you achieve all that God has planned for you.",1994,3.22,160,9
9781562924881,1562924885,The Heart of a Leader,,Kenneth H. Blanchard,Religion,http://books.google.com/books/content?id=ZnlExgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ken Blanchard offers instant motivation and insight designed to help people develop the courageous heart of a true leader.,1999,3.96,162,492
9781562926168,1562926160,The Quiet Little Woman,Tilly's Christmas ; Rosa's Tale : Three Enchanting Christmas Stories,Louisa May Alcott,Fiction,http://books.google.com/books/content?id=dO0DAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Three Christmas stories tell of an orphan who finds a new home, a little girl who rescues a bird, and a horse who shares her life story at midnight on Christmas Eve",1999,3.66,122,1064
9781563050756,1563050757,The Boomer Bible,,R. F. Laird;Robert F. Laird,Humor,http://books.google.com/books/content?id=E-IT-INLWzkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A satirical interpretation of the bible features an interpretation of world history from Creation to the modern era, as well as commentary on religion, art, film, literature, television, and other cultural matters",1991,4.25,880,202
9781563054426,1563054426,Barnyard Dance!,,Sandra Boynton,Juvenile Fiction,http://books.google.com/books/content?id=wLdRCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A bespectacled fiddle-playing cow and a pig twirling a sheep are featured in a barnyard dance. On board pages with a die-cut cover.,1993,4.25,24,20885
